#小鹤音形文本码表for PC搜狗拼音自定义短语
#用户许可协议：
#1.何海峰为“小鹤双拼、小鹤音形”输入方案的作者。
#2.本码表受著作权保护，只限您私人使用，不得修改和发布。
#3.未经授权，不得将本码表用于商业用途。
#著作权人：何海峰
#官方网站：flypy.com   QQ群：182883808
#本表贴入搜狗拼音自定义短语使用
jike,1=即可
ykbi,1=硬币
ykbm,1=应变
ykbv,1=一客不烦二主
ykcd,1=英才
ykcy,1=英寸
ykda,1=应答
ykde,1=赢得
ykdh,1=应当
ykdi,1=营地
ykdp,1=影碟
ykdu,1=硬度
ykdv,1=应对
ykdc,1=一看到
yker,1=婴儿
yked,1=一哭二闹三上吊
ykfa,1=英法
ykfg,1=迎风
ykfh,1=营房
ykfu,1=应付
ykfv,1=亦可覆舟
ykgd,1=应该
ykgl,1=荧光
ykgo,1=英国
ykhe,1=迎合
ykhc,1=英豪
ykhj,1=英汉
ykhk,1=萦怀
ykho,1=萤火
ykhv,1=赢回
ykhx,1=樱花
ykhy,1=英魂
ykhb,1=一颗红心两手准备
ykic,1=英超
ykif,1=映衬
ykig,1=影城
ykii,1=英尺
ykiy,1=迎春
ykiz,1=应酬
ykjp,1=迎接
ykjb,1=有口皆碑
ykji,1=应急
ykjk,1=应景
ykjm,1=硬件
ykjq,1=营救
ykjr,1=云开见日
ykju,1=影剧
ykjx,1=赢家
ykjy,1=英俊
ykkc,1=应考
ykkv,1=盈亏
ykle,1=赢了
ykli,1=盈利
ykld,1=迎来
yklh,1=硬朗
ykly,1=英伦
yklk,1=英灵
yklp,1=英烈
ykmi,1=影迷
ykmk,1=英明
ykmm,1=迎面
ykmo,1=英模
ykmw,1=英美
ykng,1=有可能
ykno,1=应诺
ykna,1=应纳
ykpm,1=影片
ykpb,1=应聘
ykpj,1=硬盘
ykpk,1=荧屏
ykq,1=一口气
ykqi,1=硬气
ykqt,1=盈缺
ykqr,1=鹰犬
ykqu,1=迎娶
ykrc,1=萦绕
yksu,1=罂粟
yksy,1=鹰隼
ykst,1=忆苦思甜
yktc,1=樱桃
ykti,1=硬体
yktj,1=影坛
yktk,1=硬挺
yktu,1=异口同声
yktz,1=迎头
ykue,1=映射
ykug,1=应声
ykuh,1=硬伤
ykui,1=影视
ykuv,1=应税
ykuo,1=硬说
ykuz,1=应收
ykud,1=一块石头落了地
ykv,1=眼看着
ykvc,1=鹰爪
ykvd,1=营寨
ykve,1=迎着
ykvg,1=应征
ykvh,1=营长
ykvi,1=英制
ykvj,1=迎战
ykvs,1=一刻钟
ykwf,1=英文
ykwl,1=欲哭无泪
ykwo,1=硬卧
ykwu,1=鹦鹉
ykww,1=应为
ykwx,1=有口无心
ykxl,1=影响
ykxb,1=迎新
ykxk,1=影星
ykxn,1=营销
ykxs,1=英雄
ykys,1=应用
ykyb,1=影音
ykyc,1=应邀
ykyd,1=一口咬定
ykye,1=营业
ykyh,1=营养
ykyj,1=应验
ykyk,1=一口一口
ykyr,1=影院
ykyu,1=英语
ykyy,1=营运
ykyz,1=应有
ykzc,1=营造
ykzi,1=影子
ykzo,1=硬座
ykdx,1=医科大学
ylbn,1=一览表
ylbd,1=意料不到
ylbh,1=于理不合
ylbl,1=一了百了
ylbz,1=有两把刷子
ylbg,1=有理不在声高
ylci,1=一两次
yldm,1=一两点
yldh,1=舆论大哗
yleq,1=一来二去
ylfw,1=医疗费
ylff,1=议论纷纷
ylfr,1=以理服人
ylfi,1=一路风尘
ylge,1=一两个
ylgg,1=叶落归根
ylgm,1=用力过猛
ylgr,1=易拉罐
ylgw,1=与狼共舞
ylhv,1=一两回
ylhj,1=远来和尚好看经
ylhz,1=鱼龙混杂
ylho,1=一路货
ylir,1=一连串
ylib,1=因利乘便
ylid,1=一力承当
ylii,1=疑虑重重
ylih,1=游乐场
ylj,1=一两句
yljy,1=御林军
yljh,1=一两句话
yljj,1=因陋就简
ylju,1=以卵击石
yljd,1=舆论监督
ylke,1=伊拉克
ylkt,1=有利可图
ylle,1=又来了
ylmf,1=跃龙门
ylml,1=倚老卖老
ylmm,1=一脸迷茫
ylmr,1=一脸茫然
ylnm,1=一两年
ylpa,1=一路平安
ylqv,1=一落千丈
ylrc,1=原来如此
ylrj,1=夜阑人静
ylru,1=引狼入室
yls,1=一两岁
ylsw,1=迎来送往
ylsv,1=养老送终
ylsu,1=叶绿素
ylsd,1=英伦三岛
yltm,1=一两天
yltu,1=以卵投石
yltj,1=有利条件
ylui,1=原来是
ylub,1=伊丽莎白
ylud,1=亚历山大
yluf,1=一路顺风
yluu,1=衣来伸手
yluq,1=有理说不清
ylvv,1=意料之中
ylvq,1=叶落知秋
ylvw,1=意料之外
ylvx,1=一览众山小
ylw,1=阎罗王
ylwg,1=一脸无辜
ylwh,1=以邻为壑
ylwu,1=与邻为善
ylwl,1=云里雾里
ylwy,1=一览无余
ylx,1=依赖性
ylxd,1=以礼相待
ylxi,1=月落星沉
ylxk,1=娱乐性
ylxz,1=有两下子
ylxp,1=一路小跑
ylxm,1=以泪洗面
yly,1=越来越
ylyb,1=有利有弊
ylyd,1=越来越多
ylyh,1=越来越好
ylyx,1=越来越像
ylyj,1=有理有据
ylyq,1=妖里妖气
ylyz,1=有理由
ylyt,1=摇了摇头
ylyu,1=有利于
ylyy,1=一劳永逸
ylzi,1=一揽子
ylzd,1=夜郎自大
ylzx,1=有理走遍天下
yldx,1=耶鲁大学
ymbk,1=有毛病
ymbb,1=一毛不拔
ymbf,1=也没办法
ymdc,1=一面倒
ymdj,1=烟幕弹
ymdx,1=一马当先
ymer,1=爷们儿
ymeq,1=掩面而泣
ymel,1=迎面而来
ymfm,1=羽毛丰满
ymgr,1=玉门关
ymgd,1=有目共睹
ymgg,1=妖魔鬼怪
ymgj,1=阴谋诡计
ymgm,1=一码归一码
ymgx,1=也没关系
ymhw,1=一抹黑
ymhv,1=鱼目混珠
ymiu,1=羊毛出在羊身上
ymj,1=牙买加
ymjr,1=一鸣惊人
ymju,1=颜面尽失
ymjm,1=也没见
ymjx,1=眼冒金星
ymlu,1=压马路
ymlh,1=愚昧落后
ymlr,1=一目了然
ymlm,1=圆满落幕
ymmu,1=一幕幕
ymlw,1=扬名立万
ymmz,1=游牧民族
ymmx,1=倚门卖笑
ymxy,1=亚马逊
ymxx,1=月明星稀
ymxb,1=以命相搏
ymny,1=亚美尼亚
ympi,1=一马平川
ymqq,1=羽毛球
ymqm,1=一毛钱
ymqr,1=以貌取人
ymqy,1=缘木求鱼
yms,1=一亩三分地
ymsd,1=颜面扫地
ymtq,1=扬眉吐气
ymtl,1=与民同乐
ymuh,1=一目十行
ymuk,1=眼明手快
ymuw,1=英明神武
ymvs,1=一秒钟
ymvc,1=一面之词
ymvj,1=一面之交
ymvu,1=验明正身
ymvv,1=揠苗助长
ymvx,1=鱼米之乡
ymwu,1=有名无实
ymwf,1=羽毛未丰
ymwh,1=一命呜呼
ymwj,1=野马无缰
ymwm,1=以梦为马
ymwv,1=愚昧无知
ymxi,1=一脉相承
ymxl,1=眼明心亮
ymxs,1=一门心思
ymyz,1=有没有
ymyy,1=一模一样
ymyr,1=圆明园
ymyh,1=越描越黑
ymzi,1=夜猫子
ymzl,1=夜猫子进宅，无事不来
ynbz,1=一年半载
ynbn,1=有奶便是娘
yndt,1=一年到头
yneu,1=迎难而上
ynix,1=遇难成祥
ynji,1=一年级
ynqj,1=一诺千金
ynsj,1=一年四季
yntd,1=有难同当
ynv,1=一年之计在于春
ynvi,1=一念之差
ynvj,1=一念之间
ynvb,1=云泥之别
ynvc,1=一念至此
ynvx,1=一怒之下
ynug,1=云南省
ynwr,1=以你为荣
ynyd,1=一年一度
ynyn,1=一男一女
ynyu,1=延年益寿
ynzv,1=疑难杂症
ynzu,1=英年早逝
ypbx,1=一片冰心
ypdx,1=眼皮底下
ypeh,1=一炮而红
ypgq,1=以偏概全
yphy,1=一派胡言
ypht,1=一抔黄土
ypjh,1=一拍即合
ypjf,1=有屁就放
ypkb,1=一片空白
ypli,1=有魄力
yplj,1=一片狼藉
ypls,1=一拍两散
yppm,1=一片片
yprx,1=一贫如洗
ypsu,1=一盘散沙
ypuh,1=一曝十寒
ypvl,1=一拼之力
ypyk,1=硬碰硬
ypyx,1=一颦一笑
ypzl,1=有朋自远方来
yqav,1=燕雀安知鸿鹄之志
yqb,1=远亲不如近邻
yqbu,1=语气不善
yqbm,1=欲求不满
yqbf,1=一去不复返
yqbl,1=移情别恋
yqbt,1=一窍不通
yqbv,1=一钱不值
yqby,1=有求必应
yqdm,1=优缺点
yqdu,1=元气大伤
yqdl,1=玉砌雕阑
yqdn,1=一切都有可能
yqeb,1=一穷二白
yqei,1=一清二楚
yqfh,1=右前方
yqff,1=意气风发
yqfx,1=粤犬吠雪
yqfz,1=有其父必有其子
yqgz,1=欲擒故纵
yqhj,1=邀请函
yqhd,1=油腔滑调
yqhi,1=一气呵成
yqit,1=怨气冲天
yqjm,1=元器件
yqjn,1=一切皆有可能
yqjv,1=一切尽在不言中
yqkj,1=勇气可嘉
yqld,1=用起来
yqlr,1=以强凌弱
yqms,1=以权谋私
yqn,1=一千年
yqnh,1=摇旗呐喊
yqnm,1=有钱能使鬼推磨
yqqm,1=欲穷千里目
yqql,1=欲穷千里目，更上一层楼
yqr,1=以其人之道，还治其人之身
yqrf,1=有钱人
yqru,1=由浅入深
yqrx,1=一腔热血
yqsi,1=用其所长
yqtg,1=异曲同工
yqtx,1=有期徒刑
yqti,1=异曲同工之处
yqtm,1=异曲同工之妙
yqui,1=尤其是
yquu,1=摇钱树
yquo,1=与其说
yqvi,1=有气质
yqvh,1=一丘之貉
yqvx,1=一气之下
yqwl,1=有气无力
yqwh,1=有去无回
yqwu,1=鸦雀无声
yqxg,1=偃旗息鼓
yqxt,1=意气相投
yqy,1=有求于
yqyy,1=有情有义
yqyj,1=寓情于景
yqyq,1=予取予求
yqyr,1=有求于人
yqyn,1=有求于你
yqyu,1=意气用事
yqyx,1=怡情养性
yqsy,1=一切随缘
yqyh,1=一前一后
yqyg,1=一瘸一拐
yrlk,1=圆领
yran,1=冤案
yrbc,1=元宝
yrbd,1=用人不当
yrbf,1=原本
yrbj,1=原版
yrbk,1=援兵
yrbo,1=渊博
yrbu,1=遇人不淑
yrbx,1=仰人鼻息
yrby,1=用人不疑
yrbq,1=一日不见如隔三秋
yrda,1=远大
yrdc,1=远道
yrdd,1=元代
yrde,1=圆的
yrdi,1=原地
yrdj,1=元旦
yrdk,1=原定
yrdm,1=圆点
yrds,1=远东
yrdu,1=怨毒
yrdv,1=怨怼
yrej,1=迎刃而解
yrem,1=掩人耳目
yreu,1=油然而生
yrey,1=因人而异
yrfg,1=原封
yrfb,1=与人方便
yrff,1=缘分
yrfh,1=远方
yrfv,1=易如反掌
yrfw,1=远非
yrfe,1=一日夫妻百日恩
yrgu,1=缘故
yrgc,1=原告
yrgd,1=优柔寡断
yrge,1=远隔
yrgs,1=员工
yrgr,1=圆管
yrgv,1=圆规
yrgw,1=依然故我
yrhx,1=圆滑
yrhf,1=怨恨
yrhe,1=缘何
yrhg,1=雍容华贵
yrhh,1=远航
yrhl,1=圆谎
yrhr,1=圆环
yrhu,1=圆弧
yrhy,1=冤魂
yrhz,1=猿猴
yrig,1=远程
yrih,1=原唱
yrij,1=原产
yril,1=原创
yriu,1=远处
yriz,1=冤仇
yrjp,1=愚人节
yrjb,1=远近
yrji,1=原籍
yrjk,1=远景
yrjm,1=原件
yrjq,1=援救
yrjr,1=毅然决然
yrjw,1=一如既往
yrjx,1=原价
yrjy,1=援军
yrjz,1=与日俱增
yrks,1=圆孔
yrkj,1=远看
yrkg,1=以柔克刚
yrku,1=贻人口实
yrlb,1=园林
yrlc,1=元老
yrld,1=原来
yrli,1=原理
yrll,1=原谅
yrlm,1=圆脸
yrln,1=原料
yrlo,1=院落
yrlu,1=原路
yrlv,1=远虑
yrma,1=源码
yrmc,1=原貌
yrmf,1=远门
yrmg,1=圆梦
yrmj,1=圆满
yrmk,1=原名
yrmw,1=原煤
yrmz,1=远谋
yrnd,1=有容乃大
yrnm,1=元年
yrnp,1=冤孽
yrnu,1=怨怒
yrnw,1=院内
yrpj,1=原判
yrpu,1=园圃
yrpw,1=原配
yrqb,1=远亲
yrqi,1=元气
yrqk,1=冤情
yrqm,1=元钱
yrql,1=一日千里
yrqq,1=圆球
yrqr,1=圆圈
yrqu,1=园区
yrry,1=圆润
yrrf,1=猿人
yrrg,1=依然如故
yrru,1=引人入胜
yrrv,1=游人如织
yrsc,1=一日三餐
yrse,1=原色
yrsi,1=冤死
yrso,1=院所
yrsq,1=一日三秋
yrsu,1=元素
yrsx,1=一日三省
yrtl,1=艳如桃李
yrtn,1=远眺
yrtp,1=原帖
yrts,1=圆筒
yrtu,1=原图
yrtz,1=源头
yrui,1=原始
yrue,1=远射
yrug,1=原生
yruk,1=元帅
yrux,1=哑然失笑
yruz,1=元首
yrvg,1=远征
yrvh,1=院长
yrvi,1=原值
yrvl,1=原装
yrve,1=远着
yrvm,1=引人注目
yrvo,1=圆桌
yrvu,1=援助
yrvv,1=圆锥
yrvx,1=一人之下
yrvz,1=圆周
yrwb,1=以人为本
yrwd,1=员外
yrwf,1=原文
yrwh,1=愿望
yrwj,1=以人为镜
yrwu,1=与人为善
yrww,1=原味
yrwy,1=月如无恨月长圆
yrxb,1=圆心
yrxk,1=圆形
yrxl,1=原想
yrxm,1=原先
yrxs,1=元凶
yrxy,1=元勋
yrxi,1=院系
yryb,1=原因
yrye,1=原野
yryh,1=鸳鸯
yryi,1=愿意
yryj,1=怨言
yryr,1=远远
yryt,1=元月
yryu,1=源于
yryx,1=嫣然一笑
yryy,1=游刃有余
yryz,1=原有
yryl,1=映入眼帘
yrze,1=原则
yrzi,1=院子
yrzo,1=原作
yrzr,1=庸人自扰
yrzu,1=远足
yrzd,1=怡然自得
yrzv,1=庸人自扰之
ysdn,1=用掉
ysdo,1=勇夺
ysdz,1=勇斗
ysnc,1=用脑
ysdu,1=拥堵
ysbc,1=拥抱
ysbg,1=一丝不苟
ysbh,1=要死不活
ysbp,1=永别
ysbt,1=腰酸背痛
ysbu,1=永不
yscj,1=用餐
yscd,1=庸才
ysci,1=用词
ysco,1=用错
yscy,1=永存
ysdc,1=用到
ysdd,1=拥戴
ysdi,1=用地
ysdm,1=用电
ysds,1=涌动
yseg,1=一扫而光
ysek,1=一扫而空
ysfa,1=用法
ysfl,1=云散风流
ysgj,1=勇敢
ysgl,1=用光
ysgo,1=用过
ysgr,1=用惯
ysgs,1=用功
ysgu,1=雅俗共赏
yshc,1=用好
yshf,1=严丝合缝
yshg,1=永恒
yshu,1=用户
ysia,1=用茶
ysie,1=用车
ysih,1=用场
ysii,1=泳池
ysiu,1=用处
ysiy,1=咏春
ysjb,1=佣金
ysji,1=拥挤
ysjq,1=永久
ysjt,1=永诀
ysju,1=用具
ysjn,1=用脚
ysjs,1=一损俱损
ysku,1=泳裤
yslp,1=以色列
yslb,1=伊斯兰堡
ysld,1=用来
ysle,1=用了
ysli,1=用力
yslj,1=慵懒
ysll,1=用量
ysln,1=用料
yslu,1=庸碌
yslc,1=压死骆驼的最后一根稻草
ysmg,1=勇猛
yspb,1=用品
ysq,1=压岁钱
ysqr,1=涌泉
ysqi,1=勇气
ysqm,1=用钱
ysrf,1=佣人
ysrs,1=雍容
ysru,1=涌入
yssu,1=庸俗
ystj,1=泳坛
ystu,1=用途
ysu,1=也算是
ysug,1=永生
ysuh,1=用上
ysui,1=勇士
ysuy,1=野蔌山肴
ysuz,1=用手
ysve,1=用着
ysvg,1=雍正
ysvl,1=泳装
ysvs,1=臃肿
ysvu,1=永驻
yswb,1=营私舞弊
yswj,1=用完
yswf,1=拥吻
yswp,1=鱼死网破
yswy,1=有损无益
ysxb,1=用心
ysxk,1=用刑
ysxl,1=涌向
ysxm,1=涌现
ysyr,1=永远
ysyc,1=用药
ysyh,1=一丝一毫
ysyi,1=泳衣
ysys,1=用用
ysyt,1=踊跃
ysyu,1=用于
ysyz,1=拥有
yszd,1=欲速则不达
yszw,1=有所作为
ytbc,1=月报
ytbk,1=月饼
ytbw,1=有条不紊
ytcd,1=粤菜
ytda,1=越大
ytdi,1=月底
ytdj,1=约旦
ytdk,1=约定
ytds,1=越冬
ytdu,1=阅读
ytdv,1=乐队
ytdw,1=一天到晚
ytdh,1=一条道跑到黑
yte,1=英特尔
yter,1=悦耳
ytff,1=月份
ytfa,1=越发
ytfm,1=油头粉面
ytfu,1=岳父
ytgl,1=月光
ytgj,1=乐感
ytgo,1=越过
ytgs,1=月供
ytgv,1=越轨
ytgu,1=迎头赶上
ythv,1=约会
ythc,1=约好
ythe,1=约合
ythn,1=摇头晃脑
ythq,1=一团和气
ytht,1=一塌糊涂
ythx,1=月华
ythy,1=言谈话语
ytiu,1=月初
ytit,1=仰天长叹
ytjc,1=言听计从
ytji,1=月季
ytjk,1=月经
ytjm,1=约见
ytjp,1=月结
ytjr,1=阅卷
ytju,1=越剧
ytjv,1=言谈举止
ytjy,1=月均
ytjh,1=一统江湖
ytkj,1=月刊
ytlu,1=一条路
ytlc,1=月老
ytle,1=约了
ytli,1=阅历
ytlj,1=阅览
ytll,1=月亮
ytlm,1=一团乱麻
ytls,1=一条龙
ytlh,1=一条路走到黑
ytmi,1=乐迷
ytmk,1=月明
ytmn,1=有头没脑
ytmo,1=月末
ytmu,1=岳母
ytnw,1=月内
ytnj,1=越南
ytpi,1=阅批
ytpn,1=月票
ytpu,1=乐谱
ytqi,1=乐器
ytql,1=越强
ytqq,1=月球
ytqr,1=越权
ytqm,1=跃迁
ytqt,1=月缺
ytqu,1=乐曲
ytrj,1=跃然
ytse,1=月色
ytsu,1=一潭死水
yttd,1=月台
yttr,1=乐团
yttx,1=一统天下
yttj,1=迎头痛击
yttn,1=一条条
ytuu,1=约束
ytug,1=跃升
ytui,1=越是
ytun,1=窈窕淑女
ytur,1=应天顺人
ytuz,1=乐手
ytvh,1=乐章
ytvd,1=勇挑重担
ytvj,1=约占
ytvx,1=晕头转向
ytwh,1=因特网
ytwf,1=仪态万方
ytwj,1=以退为进
ytwk,1=一吐为快
ytwr,1=有天无日
ytwu,1=一头雾水
ytww,1=约为
ytxb,1=月薪
ytxi,1=月息
ytxl,1=蝇头小利
ytxn,1=越小
ytxm,1=月线
ytxq,1=粤绣
ytxx,1=月下
ytya,1=月牙
ytye,1=越野
ytyh,1=岳阳
ytyl,1=有头有脸
ytyr,1=月圆
ytyt,1=月月
ytyu,1=粤语
ytyw,1=有头有尾
ytyy,1=一天一夜
ytzc,1=一团糟
ytzi,1=月子
ytzu,1=月租
yuan,1=预案
yubb,1=一手包办
yubc,1=预报
yubf,1=愚笨
yubh,1=一时半会
yubk,1=语病
yubo,1=余波
yubv,1=掩饰不住
yubw,1=预备
yubx,1=一声不响
yuce,1=预测
yuci,1=鱼刺
yucy,1=渔村
yuch,1=一手策划
yudc,1=遇到
yudh,1=移山倒海
yudi,1=余地
yudk,1=预定
yudu,1=鱼肚
yudl,1=遗世独立
yudw,1=野生动物
yudm,1=雨点
yudn,1=语调
yudy,1=愚钝
yuee,1=余额
yuen,1=一石二鸟
yuer,1=鱼儿
yuex,1=由上而下
yueg,1=一闪而过
yufa,1=语法
yufh,1=预防
yufm,1=衣食父母
yufo,1=玉佛
yufu,1=预付
yufz,1=与否
yugc,1=预告
yugh,1=鱼缸
yugl,1=余光
yuge,1=一首歌
yugj,1=预感
yugy,1=有失公允
yugu,1=预估
yugx,1=雨刮
yuhd,1=遇害
yuhe,1=愈合
yuhf,1=燕瘦环肥
yuhh,1=宇航
yuhj,1=御寒
yuho,1=欲火
yuhv,1=迂回
yuht,1=一时糊涂
yuhx,1=游手好闲
yuhz,1=有时候
yuhq,1=一生何求
yuig,1=玉成
yuih,1=浴场
yuii,1=鱼翅
yuir,1=渔船
yuis,1=应声虫
yuiy,1=愚蠢
yuid,1=一时冲动
yuib,1=因势乘便
yuic,1=与世长辞
yuit,1=严师出高徒
yuj,1=右上角
yujb,1=浴巾
yujf,1=玉石俱焚
yuji,1=预计
yujj,1=与时俱进
yujk,1=预警
yujl,1=与生俱来
yujm,1=遇见
yujn,1=预交
yujp,1=郁结
yuju,1=语句
yujx,1=瑜伽
yukc,1=预考
yukk,1=愉快
yukr,1=余款
yuld,1=因势利导
yule,1=娱乐
yulf,1=玉树临风
yulj,1=预览
yulk,1=育龄
yull,1=雨量
yuln,1=预料
yulq,1=预留
yulr,1=鱼卵
yult,1=优胜劣汰
yulu,1=语录
yulw,1=鱼类
yuly,1=舆论
yumb,1=渔民
yumc,1=羽毛
yumf,1=郁闷
yumi,1=玉米
yumk,1=域名
yumn,1=鱼苗
yumw,1=愚昧
yumz,1=预谋
yumx,1=烟视媚行
yuni,1=淤泥
yunj,1=遇难
yunm,1=欲念
yunn,1=饮食男女
yunp,1=余孽
yuns,1=愚弄
yunv,1=玉女
yupc,1=浴袍
yupf,1=浴盆
yupj,1=预判
yupw,1=玉佩
yuqi,1=语气
yuqj,1=饮食起居
yuqq,1=欲求
yuqt,1=余缺
yuqk,1=淤青
yure,1=预热
yurf,1=育人
yurc,1=也是如此
yurj,1=夜深人静
yurs,1=羽绒
yurz,1=鱼肉
yurn,1=由奢入俭难
yusd,1=预赛
yuse,1=语塞
yusi,1=雨丝
yusj,1=雨伞
yuso,1=寓所
yusr,1=预算
yusu,1=语速
yusk,1=一时三刻
yusy,1=饮水思源
yutd,1=语态
yuth,1=鱼塘
yuti,1=预提
yutm,1=雨天
yutr,1=一视同仁
yutt,1=一手托天
yutu,1=玉兔
yutz,1=芋头
yuud,1=以少胜多
yuue,1=预设
yuuf,1=以身试法
yuug,1=余生
yuuh,1=遇上
yuui,1=于是
yuuv,1=雨水
yuuz,1=预售
yuvc,1=预兆
yuvf,1=余震
yuvh,1=鱼水之欢
yuvi,1=预知
yuvl,1=预装
yuvj,1=一时之间
yuvn,1=有生之年
yuvo,1=玉镯
yuvs,1=雨中
yuvt,1=一手遮天
yuvu,1=预祝
yuvv,1=由始至终
yuvx,1=衣食住行
yuvz,1=宇宙
yuwf,1=语文
yuwg,1=渔翁
yuwh,1=欲望
yuwi,1=一事无成
yuwb,1=于事无补
yuwk,1=有恃无恐
yuwl,1=一时无两
yuwu,1=游山玩水
yuwv,1=与世无争
yuww,1=誉为
yuxg,1=以身殉国
yuxi,1=预习
yuxl,1=预想
yuxm,1=预先
yuxr,1=预选
yuxs,1=愚兄
yuxt,1=淤血
yuxu,1=语序
yuxv,1=以身殉职
yuxx,1=余下
yuyb,1=语音
yuye,1=渔业
yuyg,1=疑神疑鬼
yuyi,1=予以
yuyj,1=语言
yuyl,1=有史以来
yuyw,1=远胜于我
yuyn,1=益寿延年
yuys,1=御用
yuyt,1=预约
yuyu,1=一生一世
yuyv,1=有始有终
yuyy,1=亦师亦友
yuzp,1=影视作品
yuzh,1=一失足成千古恨
yuzj,1=玉簪
yuzu,1=狱卒
yuzz,1=以身作则
yvbi,1=圆珠笔
yvbj,1=一知半解
yvbt,1=与众不同
yvbu,1=一着不慎
yvbv,1=抑制不住
yvby,1=一朝被蛇咬
yvbm,1=邮政编码
yvbg,1=有志不在年高
yvdk,1=眼中钉
yvdc,1=眼中钉，肉中刺
yvdm,1=悠着点
yvdn,1=一专多能
yvdx,1=一枝独秀
yvfg,1=一阵风
yvff,1=焉知非福
yvfx,1=医者父母心
yvgx,1=一争高下
yvhx,1=一枝花
yvhl,1=一枕黄粱
yvhj,1=已臻化境
yvij,1=一指禅
yvil,1=言之成理
yvju,1=邮政局
yvjx,1=一针见血
yvkw,1=一纸空文
yvli,1=意志力
yvlv,1=圆周率
yvma,1=验证码
yvmg,1=仰之弥高
yvml,1=寅支卯粮
yvq,1=一朝权在手
yvqj,1=一掷千金
yvqd,1=愚者千虑，必有一得
yvqt,1=一柱擎天
yvqu,1=颐指气使
yvqx,1=一朝权在手，便把令来行
yvu,1=一只手
yvuz,1=言之尚早
yvr,1=意中人
yvrw,1=一致认为
yvuf,1=胭脂水粉
yvrf,1=运指如飞
yvsg,1=银装素裹
yvtm,1=一整天
yvtp,1=硬着头皮
yvtg,1=一致通过
yvty,1=一致同意
yvtu,1=硬着头皮上
yvut,1=以正视听
yvug,1=愿者上钩
yvuj,1=刖趾适屦
yvv,1=眼睁睁
yvvg,1=月中折桂
yvvf,1=一阵阵
yvvi,1=有志者事竟成
yvvu,1=有志之士
yvvk,1=饮鸩止渴
yvvy,1=由衷之言
yvww,1=言之无物
yvwz,1=言者无罪
yvx,1=一致性
yvxi,1=语重心长
yvxu,1=一桩心事
yvxk,1=严重性
yvy,1=有助于
yvyj,1=一转眼
yvys,1=一至于斯
yvyd,1=严阵以待
yvym,1=用之于民
yvyi,1=一张一弛
yvyr,1=有朝一日
yvyu,1=一招一式
yvyw,1=原汁原味
yvyx,1=一朝一夕
yvyy,1=越战越勇
yvyf,1=一眨眼功夫
yvzi,1=一阵子
yvzz,1=言之凿凿
ywb,1=英文版
ywbj,1=言无不尽
ywbm,1=一文不名
ywbv,1=一文不值
ywdj,1=一网打尽
ywdl,1=渔翁得利
ywej,1=言无二价
ywf,1=一窝蜂
ywfg,1=义无反顾
ywhy,1=以武会友
ywhl,1=吆五喝六
ywiw,1=一无长物
ywjz,1=咬文嚼字
ywkj,1=依我看
ywkq,1=一无可取
ywlc,1=语无伦次
ywmk,1=英文名
ywmm,1=烟雾弥漫
ywmw,1=有完没完
ywnm,1=一万年
ywnr,1=永无宁日
ywpd,1=夷为平地
ywq,1=圆舞曲
ywqm,1=冤枉钱
ywql,1=摇尾乞怜
ywqu,1=一往情深
ywqx,1=愿闻其详
ywqz,1=仰卧起坐
yws,1=一问三不知
ywsd,1=一无所得
ywsh,1=一无所获
ywsi,1=一无所成
ywsq,1=一无所求
ywsv,1=一无所知
ywsy,1=一无所有
ywti,1=有问题
ywuh,1=一晚上
ywui,1=一无是处
ywup,1=一碗水端平
ywve,1=意味着
ywvd,1=用武之地
ywvj,1=永无止境
ywvq,1=勇往直前
ywvy,1=言外之意
ywwa,1=洋娃娃
ywwf,1=鱼尾纹
ywwg,1=与我无关
ywwj,1=一望无际
ywwq,1=一往无前
ywwy,1=一望无垠
ywx,1=一物降一物
ywxu,1=鹦鹉学舌
ywxv,1=永无休止
ywxw,1=偃武修文
ywyr,1=业务员
ywyu,1=一五一十
ywyw,1=耀武扬威
ywyx,1=杳无音信
ywyd,1=一问一答
yxba,1=也许吧
yxbb,1=野心勃勃
yxbd,1=意想不到
yxbl,1=原形毕露
yxbr,1=于心不忍
yxby,1=言行不一
yxbi,1=英雄辈出
yxco,1=一小撮
yxdc,1=一想到
yxdf,1=贻笑大方
yxdx,1=有些东西
yxdu,1=有线电视
yxey,1=一心二用
yxeg,1=一笑而过
yxfu,1=以下犯上
yxfv,1=浴血奋战
yxgs,1=有限公司
yxgz,1=游戏规则
yxh,1=有些话
yxhx,1=以血还血
yxhy,1=遥相呼应
yxhl,1=烟熏火燎
yxii,1=忧心忡忡
yxjn,1=右下角
yxjv,1=言行举止
yxjm,1=英雄救美
yxje,1=元凶巨恶
yxji,1=远香近臭
yxjp,1=元宵节
yxki,1=有隙可乘
yxlp,1=一系列
yxlk,1=用心良苦
yxld,1=一系列的
yxlr,1=月下老人
yxlu,1=意兴阑珊
yxlv,1=一笑了之
yxli,1=影响力
yxma,1=音形码
yxmm,1=隐姓埋名
yxml,1=英雄末路
yxmi,1=英雄莫问出处
yxng,1=英雄难过美人关
yxq,1=有效期
yxqd,1=英雄气短
yxqi,1=一雪前耻
yxqj,1=一笑千金
yxql,1=一泻千里
yxqw,1=音信全无
yxqy,1=一厢情愿
yxr,1=有些人
yxrc,1=一向如此
yxrf,1=忧心如焚
yxrh,1=意下如何
